Datetime,Consumption,hour,dayofweek,month,year,lag1,lag2,lag3,prediction
2018-04-01 00:00:00,763,0,6,4,2018,,,,
2018-04-01 01:00:00,741,1,6,4,2018,,,,
2018-04-01 02:00:00,714,2,6,4,2018,,,,
2018-04-01 03:00:00,680,3,6,4,2018,,,,
2018-04-01 04:00:00,684,4,6,4,2018,,,,
2018-04-01 05:00:00,667,5,6,4,2018,,,,
2018-04-01 06:00:00,682,6,6,4,2018,,,,
2018-04-01 07:00:00,714,7,6,4,2018,,,,
2018-04-01 08:00:00,717,8,6,4,2018,,,,
2018-04-01 09:00:00,751,9,6,4,2018,,,,
2018-04-01 10:00:00,789,10,6,4,2018,,,,
2018-04-01 11:00:00,805,11,6,4,2018,,,,
2018-04-01 12:00:00,828,12,6,4,2018,,,,
2018-04-01 13:00:00,832,13,6,4,2018,,,,
2018-04-01 14:00:00,807,14,6,4,2018,,,,
2018-04-01 15:00:00,811,15,6,4,2018,,,,
2018-04-01 16:00:00,781,16,6,4,2018,,,,
2018-04-01 17:00:00,819,17,6,4,2018,,,,
2018-04-01 18:00:00,823,18,6,4,2018,,,,
2018-04-01 19:00:00,813,19,6,4,2018,,,,
2018-04-01 20:00:00,858,20,6,4,2018,,,,
2018-04-01 21:00:00,891,21,6,4,2018,,,,
2018-04-01 22:00:00,888,22,6,4,2018,,,,
2018-04-01 23:00:00,838,23,6,4,2018,,,,
2018-04-02 00:00:00,762,0,0,4,2018,,,,
2018-04-02 01:00:00,720,1,0,4,2018,,,,
2018-04-02 02:00:00,687,2,0,4,2018,,,,
2018-04-02 03:00:00,660,3,0,4,2018,,,,
2018-04-02 04:00:00,659,4,0,4,2018,,,,
2018-04-02 05:00:00,648,5,0,4,2018,,,,
2018-04-02 06:00:00,686,6,0,4,2018,,,,
2018-04-02 07:00:00,681,7,0,4,2018,,,,
2018-04-02 08:00:00,790,8,0,4,2018,,,,
2018-04-02 09:00:00,821,9,0,4,2018,,,,
2018-04-02 10:00:00,846,10,0,4,2018,,,,
2018-04-02 11:00:00,830,11,0,4,2018,,,,
2018-04-02 12:00:00,873,12,0,4,2018,,,,
2018-04-02 13:00:00,842,13,0,4,2018,,,,
2018-04-02 14:00:00,824,14,0,4,2018,,,,
2018-04-02 15:00:00,821,15,0,4,2018,,,,
2018-04-02 16:00:00,839,16,0,4,2018,,,,
2018-04-02 17:00:00,847,17,0,4,2018,,,,
2018-04-02 18:00:00,839,18,0,4,2018,,,,
2018-04-02 19:00:00,853,19,0,4,2018,,,,
2018-04-02 20:00:00,876,20,0,4,2018,,,,
2018-04-02 21:00:00,893,21,0,4,2018,,,,
2018-04-02 22:00:00,866,22,0,4,2018,,,,
2018-04-02 23:00:00,830,23,0,4,2018,,,,
2018-04-03 00:00:00,784,0,1,4,2018,,,,
2018-04-03 01:00:00,734,1,1,4,2018,,,,
2018-04-03 02:00:00,687,2,1,4,2018,,,,
2018-04-03 03:00:00,681,3,1,4,2018,,,,
2018-04-03 04:00:00,676,4,1,4,2018,,,,
2018-04-03 05:00:00,661,5,1,4,2018,,,,
2018-04-03 06:00:00,665,6,1,4,2018,,,,
2018-04-03 07:00:00,704,7,1,4,2018,,,,
2018-04-03 08:00:00,751,8,1,4,2018,,,,
2018-04-03 09:00:00,811,9,1,4,2018,,,,
2018-04-03 10:00:00,832,10,1,4,2018,,,,
2018-04-03 11:00:00,839,11,1,4,2018,,,,
2018-04-03 12:00:00,839,12,1,4,2018,,,,
2018-04-03 13:00:00,827,13,1,4,2018,,,,
2018-04-03 14:00:00,829,14,1,4,2018,,,,
2018-04-03 15:00:00,792,15,1,4,2018,,,,
2018-04-03 16:00:00,806,16,1,4,2018,,,,
2018-04-03 17:00:00,803,17,1,4,2018,,,,
2018-04-03 18:00:00,815,18,1,4,2018,,,,
2018-04-03 19:00:00,812,19,1,4,2018,,,,
2018-04-03 20:00:00,875,20,1,4,2018,,,,
2018-04-03 21:00:00,868,21,1,4,2018,,,,
2018-04-03 22:00:00,834,22,1,4,2018,,,,
2018-04-03 23:00:00,814,23,1,4,2018,,,,
2018-04-04 00:00:00,742,0,2,4,2018,,,,
2018-04-04 01:00:00,712,1,2,4,2018,,,,
2018-04-04 02:00:00,671,2,2,4,2018,,,,
2018-04-04 03:00:00,663,3,2,4,2018,,,,
2018-04-04 04:00:00,671,4,2,4,2018,,,,
2018-04-04 05:00:00,651,5,2,4,2018,,,,
2018-04-04 06:00:00,653,6,2,4,2018,,,,
2018-04-04 07:00:00,704,7,2,4,2018,,,,
2018-04-04 08:00:00,739,8,2,4,2018,,,,
2018-04-04 09:00:00,770,9,2,4,2018,,,,
2018-04-04 10:00:00,808,10,2,4,2018,,,,
2018-04-04 11:00:00,830,11,2,4,2018,,,,
2018-04-04 12:00:00,823,12,2,4,2018,,,,
2018-04-04 13:00:00,818,13,2,4,2018,,,,
2018-04-04 14:00:00,787,14,2,4,2018,,,,
2018-04-04 15:00:00,792,15,2,4,2018,,,,
2018-04-04 16:00:00,784,16,2,4,2018,,,,
2018-04-04 17:00:00,800,17,2,4,2018,,,,
2018-04-04 18:00:00,816,18,2,4,2018,,,,
2018-04-04 19:00:00,799,19,2,4,2018,,,,
2018-04-04 20:00:00,839,20,2,4,2018,,,,
2018-04-04 21:00:00,868,21,2,4,2018,,,,
2018-04-04 22:00:00,861,22,2,4,2018,,,,
2018-04-04 23:00:00,791,23,2,4,2018,,,,
2018-04-05 00:00:00,721,0,3,4,2018,,,,
2018-04-05 01:00:00,688,1,3,4,2018,,,,
2018-04-05 02:00:00,628,2,3,4,2018,,,,
2018-04-05 03:00:00,655,3,3,4,2018,,,,
2018-04-05 04:00:00,629,4,3,4,2018,,,,
2018-04-05 05:00:00,647,5,3,4,2018,,,,
2018-04-05 06:00:00,650,6,3,4,2018,,,,
2018-04-05 07:00:00,664,7,3,4,2018,,,,
2018-04-05 08:00:00,736,8,3,4,2018,,,,
2018-04-05 09:00:00,772,9,3,4,2018,,,,
2018-04-05 10:00:00,802,10,3,4,2018,,,,
2018-04-05 11:00:00,810,11,3,4,2018,,,,
2018-04-05 12:00:00,821,12,3,4,2018,,,,
2018-04-05 13:00:00,779,13,3,4,2018,,,,
2018-04-05 14:00:00,766,14,3,4,2018,,,,
2018-04-05 15:00:00,770,15,3,4,2018,,,,
2018-04-05 16:00:00,769,16,3,4,2018,,,,
2018-04-05 17:00:00,782,17,3,4,2018,,,,
2018-04-05 18:00:00,767,18,3,4,2018,,,,
2018-04-05 19:00:00,775,19,3,4,2018,,,,
2018-04-05 20:00:00,844,20,3,4,2018,,,,
2018-04-05 21:00:00,898,21,3,4,2018,,,,
2018-04-05 22:00:00,856,22,3,4,2018,,,,
2018-04-05 23:00:00,787,23,3,4,2018,,,,
2018-04-06 00:00:00,706,0,4,4,2018,,,,
2018-04-06 01:00:00,694,1,4,4,2018,,,,
2018-04-06 02:00:00,634,2,4,4,2018,,,,
2018-04-06 03:00:00,638,3,4,4,2018,,,,
2018-04-06 04:00:00,620,4,4,4,2018,,,,
2018-04-06 05:00:00,615,5,4,4,2018,,,,
2018-04-06 06:00:00,631,6,4,4,2018,,,,
2018-04-06 07:00:00,674,7,4,4,2018,,,,
2018-04-06 08:00:00,727,8,4,4,2018,,,,
2018-04-06 09:00:00,757,9,4,4,2018,,,,
2018-04-06 10:00:00,823,10,4,4,2018,,,,
2018-04-06 11:00:00,818,11,4,4,2018,,,,
2018-04-06 12:00:00,792,12,4,4,2018,,,,
2018-04-06 13:00:00,809,13,4,4,2018,,,,
2018-04-06 14:00:00,782,14,4,4,2018,,,,
2018-04-06 15:00:00,743,15,4,4,2018,,,,
2018-04-06 16:00:00,772,16,4,4,2018,,,,
2018-04-06 17:00:00,774,17,4,4,2018,,,,
2018-04-06 18:00:00,757,18,4,4,2018,,,,
2018-04-06 19:00:00,784,19,4,4,2018,,,,
2018-04-06 20:00:00,852,20,4,4,2018,,,,
2018-04-06 21:00:00,837,21,4,4,2018,,,,
2018-04-06 22:00:00,811,22,4,4,2018,,,,
2018-04-06 23:00:00,771,23,4,4,2018,,,,
2018-04-07 00:00:00,727,0,5,4,2018,,,,
2018-04-07 01:00:00,695,1,5,4,2018,,,,
2018-04-07 02:00:00,656,2,5,4,2018,,,,
2018-04-07 03:00:00,628,3,5,4,2018,,,,
2018-04-07 04:00:00,613,4,5,4,2018,,,,
2018-04-07 05:00:00,623,5,5,4,2018,,,,
2018-04-07 06:00:00,609,6,5,4,2018,,,,
2018-04-07 07:00:00,646,7,5,4,2018,,,,
2018-04-07 08:00:00,697,8,5,4,2018,,,,
2018-04-07 09:00:00,729,9,5,4,2018,,,,
2018-04-07 10:00:00,789,10,5,4,2018,,,,
2018-04-07 11:00:00,786,11,5,4,2018,,,,
2018-04-07 12:00:00,828,12,5,4,2018,,,,
2018-04-07 13:00:00,792,13,5,4,2018,,,,
2018-04-07 14:00:00,801,14,5,4,2018,,,,
2018-04-07 15:00:00,790,15,5,4,2018,,,,
2018-04-07 16:00:00,773,16,5,4,2018,,,,
2018-04-07 17:00:00,783,17,5,4,2018,,,,
2018-04-07 18:00:00,825,18,5,4,2018,,,,
2018-04-07 19:00:00,831,19,5,4,2018,,,,
2018-04-07 20:00:00,831,20,5,4,2018,,,,
2018-04-07 21:00:00,836,21,5,4,2018,,,,
2018-04-07 22:00:00,816,22,5,4,2018,,,,
2018-04-07 23:00:00,802,23,5,4,2018,,,,
2018-04-08 00:00:00,715,0,6,4,2018,,,,
2018-04-08 01:00:00,723,1,6,4,2018,,,,
2018-04-08 02:00:00,660,2,6,4,2018,,,,
2018-04-08 03:00:00,665,3,6,4,2018,,,,
2018-04-08 04:00:00,622,4,6,4,2018,,,,
2018-04-08 05:00:00,609,5,6,4,2018,,,,
2018-04-08 06:00:00,643,6,6,4,2018,,,,
2018-04-08 07:00:00,642,7,6,4,2018,,,,
2018-04-08 08:00:00,658,8,6,4,2018,,,,
2018-04-08 09:00:00,705,9,6,4,2018,,,,
2018-04-08 10:00:00,740,10,6,4,2018,,,,
2018-04-08 11:00:00,766,11,6,4,2018,,,,
2018-04-08 12:00:00,773,12,6,4,2018,,,,
2018-04-08 13:00:00,763,13,6,4,2018,,,,
2018-04-08 14:00:00,752,14,6,4,2018,,,,
2018-04-08 15:00:00,715,15,6,4,2018,,,,
