Consumption,hour,dayofweek,month,year,lag1,lag2,lag3,prediction
763,0,6,4,2018,,,,
741,1,6,4,2018,,,,
714,2,6,4,2018,,,,
680,3,6,4,2018,,,,
684,4,6,4,2018,,,,
667,5,6,4,2018,,,,
682,6,6,4,2018,,,,
714,7,6,4,2018,,,,
717,8,6,4,2018,,,,
751,9,6,4,2018,,,,
789,10,6,4,2018,,,,
805,11,6,4,2018,,,,
828,12,6,4,2018,,,,
832,13,6,4,2018,,,,
807,14,6,4,2018,,,,
811,15,6,4,2018,,,,
781,16,6,4,2018,,,,
819,17,6,4,2018,,,,
823,18,6,4,2018,,,,
813,19,6,4,2018,,,,
858,20,6,4,2018,,,,
891,21,6,4,2018,,,,
888,22,6,4,2018,,,,
838,23,6,4,2018,,,,
762,0,0,4,2018,,,,
720,1,0,4,2018,,,,
687,2,0,4,2018,,,,
660,3,0,4,2018,,,,
659,4,0,4,2018,,,,
648,5,0,4,2018,,,,
686,6,0,4,2018,,,,
681,7,0,4,2018,,,,
790,8,0,4,2018,,,,
821,9,0,4,2018,,,,
846,10,0,4,2018,,,,
830,11,0,4,2018,,,,
873,12,0,4,2018,,,,
842,13,0,4,2018,,,,
824,14,0,4,2018,,,,
821,15,0,4,2018,,,,
839,16,0,4,2018,,,,
847,17,0,4,2018,,,,
839,18,0,4,2018,,,,
853,19,0,4,2018,,,,
876,20,0,4,2018,,,,
893,21,0,4,2018,,,,
866,22,0,4,2018,,,,
830,23,0,4,2018,,,,
784,0,1,4,2018,,,,
734,1,1,4,2018,,,,
687,2,1,4,2018,,,,
681,3,1,4,2018,,,,
676,4,1,4,2018,,,,
661,5,1,4,2018,,,,
665,6,1,4,2018,,,,
704,7,1,4,2018,,,,
751,8,1,4,2018,,,,
811,9,1,4,2018,,,,
832,10,1,4,2018,,,,
839,11,1,4,2018,,,,
839,12,1,4,2018,,,,
827,13,1,4,2018,,,,
829,14,1,4,2018,,,,
792,15,1,4,2018,,,,
806,16,1,4,2018,,,,
803,17,1,4,2018,,,,
815,18,1,4,2018,,,,
812,19,1,4,2018,,,,
875,20,1,4,2018,,,,
868,21,1,4,2018,,,,
834,22,1,4,2018,,,,
814,23,1,4,2018,,,,
742,0,2,4,2018,,,,
712,1,2,4,2018,,,,
671,2,2,4,2018,,,,
663,3,2,4,2018,,,,
671,4,2,4,2018,,,,
651,5,2,4,2018,,,,
653,6,2,4,2018,,,,
704,7,2,4,2018,,,,
739,8,2,4,2018,,,,
770,9,2,4,2018,,,,
808,10,2,4,2018,,,,
830,11,2,4,2018,,,,
823,12,2,4,2018,,,,
818,13,2,4,2018,,,,
787,14,2,4,2018,,,,
792,15,2,4,2018,,,,
784,16,2,4,2018,,,,
800,17,2,4,2018,,,,
816,18,2,4,2018,,,,
799,19,2,4,2018,,,,
839,20,2,4,2018,,,,
868,21,2,4,2018,,,,
861,22,2,4,2018,,,,
791,23,2,4,2018,,,,
721,0,3,4,2018,,,,
688,1,3,4,2018,,,,
628,2,3,4,2018,,,,
655,3,3,4,2018,,,,
629,4,3,4,2018,,,,
647,5,3,4,2018,,,,
650,6,3,4,2018,,,,
664,7,3,4,2018,,,,
736,8,3,4,2018,,,,
772,9,3,4,2018,,,,
802,10,3,4,2018,,,,
810,11,3,4,2018,,,,
821,12,3,4,2018,,,,
779,13,3,4,2018,,,,
766,14,3,4,2018,,,,
770,15,3,4,2018,,,,
769,16,3,4,2018,,,,
782,17,3,4,2018,,,,
767,18,3,4,2018,,,,
775,19,3,4,2018,,,,
844,20,3,4,2018,,,,
898,21,3,4,2018,,,,
856,22,3,4,2018,,,,
787,23,3,4,2018,,,,
706,0,4,4,2018,,,,
694,1,4,4,2018,,,,
634,2,4,4,2018,,,,
638,3,4,4,2018,,,,
620,4,4,4,2018,,,,
615,5,4,4,2018,,,,
631,6,4,4,2018,,,,
674,7,4,4,2018,,,,
727,8,4,4,2018,,,,
757,9,4,4,2018,,,,
823,10,4,4,2018,,,,
818,11,4,4,2018,,,,
792,12,4,4,2018,,,,
809,13,4,4,2018,,,,
782,14,4,4,2018,,,,
743,15,4,4,2018,,,,
772,16,4,4,2018,,,,
774,17,4,4,2018,,,,
757,18,4,4,2018,,,,
784,19,4,4,2018,,,,
852,20,4,4,2018,,,,
837,21,4,4,2018,,,,
811,22,4,4,2018,,,,
771,23,4,4,2018,,,,
727,0,5,4,2018,,,,
695,1,5,4,2018,,,,
656,2,5,4,2018,,,,
628,3,5,4,2018,,,,
613,4,5,4,2018,,,,
623,5,5,4,2018,,,,
609,6,5,4,2018,,,,
646,7,5,4,2018,,,,
697,8,5,4,2018,,,,
729,9,5,4,2018,,,,
789,10,5,4,2018,,,,
786,11,5,4,2018,,,,
828,12,5,4,2018,,,,
792,13,5,4,2018,,,,
801,14,5,4,2018,,,,
790,15,5,4,2018,,,,
773,16,5,4,2018,,,,
783,17,5,4,2018,,,,
825,18,5,4,2018,,,,
831,19,5,4,2018,,,,
831,20,5,4,2018,,,,
836,21,5,4,2018,,,,
816,22,5,4,2018,,,,
802,23,5,4,2018,,,,
715,0,6,4,2018,,,,
723,1,6,4,2018,,,,
660,2,6,4,2018,,,,
665,3,6,4,2018,,,,
622,4,6,4,2018,,,,
609,5,6,4,2018,,,,
643,6,6,4,2018,,,,
642,7,6,4,2018,,,,
658,8,6,4,2018,,,,
705,9,6,4,2018,,,,
740,10,6,4,2018,,,,
766,11,6,4,2018,,,,
773,12,6,4,2018,,,,
763,13,6,4,2018,,,,
752,14,6,4,2018,,,,
715,15,6,4,2018,,,,
732,16,6,4,2018,,,,
728,17,6,4,2018,,,,
802,18,6,4,2018,,,,
755,19,6,4,2018,,,,
765,20,6,4,2018,,,,
863,21,6,4,2018,,,,
844,22,6,4,2018,,,,
787,23,6,4,2018,,,,
699,0,0,4,2018,,,,
651,1,0,4,2018,,,,
617,2,0,4,2018,,,,
602,3,0,4,2018,,,,
606,4,0,4,2018,,,,
624,5,0,4,2018,,,,
620,6,0,4,2018,,,,
634,7,0,4,2018,,,,
707,8,0,4,2018,,,,
783,9,0,4,2018,,,,
811,10,0,4,2018,,,,
810,11,0,4,2018,,,,
783,12,0,4,2018,,,,
776,13,0,4,2018,,,,
746,14,0,4,2018,,,,
763,15,0,4,2018,,,,
764,16,0,4,2018,,,,
785,17,0,4,2018,,,,
791,18,0,4,2018,,,,
835,19,0,4,2018,,,,
861,20,0,4,2018,,,,
856,21,0,4,2018,,,,
855,22,0,4,2018,,,,
787,23,0,4,2018,,,,
718,0,1,4,2018,,,,
665,1,1,4,2018,,,,
629,2,1,4,2018,,,,
624,3,1,4,2018,,,,
628,4,1,4,2018,,,,
624,5,1,4,2018,,,,
643,6,1,4,2018,,,,
675,7,1,4,2018,,,,
713,8,1,4,2018,,,,
764,9,1,4,2018,,,,
787,10,1,4,2018,,,,
776,11,1,4,2018,,,,
777,12,1,4,2018,,,,
798,13,1,4,2018,,,,
770,14,1,4,2018,,,,
767,15,1,4,2018,,,,
777,16,1,4,2018,,,,
796,17,1,4,2018,,,,
818,18,1,4,2018,,,,
832,19,1,4,2018,,,,
833,20,1,4,2018,,,,
850,21,1,4,2018,,,,
832,22,1,4,2018,,,,
748,23,1,4,2018,,,,
701,0,2,4,2018,,,,
681,1,2,4,2018,,,,
656,2,2,4,2018,,,,
634,3,2,4,2018,,,,
618,4,2,4,2018,,,,
624,5,2,4,2018,,,,
633,6,2,4,2018,,,,
665,7,2,4,2018,,,,
709,8,2,4,2018,,,,
774,9,2,4,2018,,,,
796,10,2,4,2018,,,,
816,11,2,4,2018,,,,
779,12,2,4,2018,,,,
778,13,2,4,2018,,,,
760,14,2,4,2018,,,,
761,15,2,4,2018,,,,
745,16,2,4,2018,,,,
724,17,2,4,2018,,,,
759,18,2,4,2018,,,,
757,19,2,4,2018,,,,
767,20,2,4,2018,,,,
822,21,2,4,2018,,,,
806,22,2,4,2018,,,,
754,23,2,4,2018,,,,
691,0,3,4,2018,,,,
681,1,3,4,2018,,,,
638,2,3,4,2018,,,,
609,3,3,4,2018,,,,
602,4,3,4,2018,,,,
611,5,3,4,2018,,,,
613,6,3,4,2018,,,,
664,7,3,4,2018,,,,
682,8,3,4,2018,,,,
744,9,3,4,2018,,,,
769,10,3,4,2018,,,,
781,11,3,4,2018,,,,
765,12,3,4,2018,,,,
749,13,3,4,2018,,,,
739,14,3,4,2018,,,,
763,15,3,4,2018,,,,
747,16,3,4,2018,,,,
741,17,3,4,2018,,,,
747,18,3,4,2018,,,,
739,19,3,4,2018,,,,
758,20,3,4,2018,,,,
837,21,3,4,2018,,,,
785,22,3,4,2018,,,,
753,23,3,4,2018,,,,
665,0,4,4,2018,,,,
633,1,4,4,2018,,,,
636,2,4,4,2018,,,,
589,3,4,4,2018,,,,
609,4,4,4,2018,,,,
613,5,4,4,2018,,,,
588,6,4,4,2018,,,,
614,7,4,4,2018,,,,
674,8,4,4,2018,,,,
726,9,4,4,2018,,,,
775,10,4,4,2018,,,,
759,11,4,4,2018,,,,
763,12,4,4,2018,,,,
741,13,4,4,2018,,,,
723,14,4,4,2018,,,,
732,15,4,4,2018,,,,
734,16,4,4,2018,,,,
739,17,4,4,2018,,,,
764,18,4,4,2018,,,,
785,19,4,4,2018,,,,
780,20,4,4,2018,,,,
809,21,4,4,2018,,,,
787,22,4,4,2018,,,,
747,23,4,4,2018,,,,
677,0,5,4,2018,,,,
653,1,5,4,2018,,,,
630,2,5,4,2018,,,,
596,3,5,4,2018,,,,
574,4,5,4,2018,,,,
572,5,5,4,2018,,,,
566,6,5,4,2018,,,,
597,7,5,4,2018,,,,
642,8,5,4,2018,,,,
696,9,5,4,2018,,,,
726,10,5,4,2018,,,,
741,11,5,4,2018,,,,
737,12,5,4,2018,,,,
723,13,5,4,2018,,,,
739,14,5,4,2018,,,,
714,15,5,4,2018,,,,
695,16,5,4,2018,,,,
737,17,5,4,2018,,,,
750,18,5,4,2018,,,,
732,19,5,4,2018,,,,
750,20,5,4,2018,,,,
789,21,5,4,2018,,,,
774,22,5,4,2018,,,,
739,23,5,4,2018,,,,
685,0,6,4,2018,,,,
636,1,6,4,2018,,,,
596,2,6,4,2018,,,,
585,3,6,4,2018,,,,
578,4,6,4,2018,,,,
559,5,6,4,2018,,,,
555,6,6,4,2018,,,,
577,7,6,4,2018,,,,
581,8,6,4,2018,,,,
655,9,6,4,2018,,,,
665,10,6,4,2018,,,,
701,11,6,4,2018,,,,
693,12,6,4,2018,,,,
701,13,6,4,2018,,,,
